id,category,question,expected_policy,policy_reference,retrieved_sources,rank,hit_at_1,hit_at_3,reciprocal_rank,top1_similarity,relevant_similarity
QA001,Fraud,"I noticed an unauthorized transaction of ₹15,000 on my account. What should I do?",fraud_handling_policy.txt,"Fraud Handling Policy §3, §4","['fraud_handling_policy.txt', 'fraud_handling_policy.txt', 'fraud_handling_policy.txt']",1,1,1,1.0,0.6977,0.6977
QA002,Fraud,How long does fraud investigation take?,fraud_handling_policy.txt,Fraud Handling Policy §4,"['fraud_handling_policy.txt', 'fraud_handling_policy.txt', 'fraud_handling_policy.txt']",1,1,1,1.0,0.7452,0.7452
QA003,Fraud,Someone used my OTP to transfer money. Can I get a refund?,fraud_handling_policy.txt,"Fraud Handling Policy §3.2, §6","['refund_dispute_policy.txt', 'fraud_handling_policy.txt', 'fraud_handling_policy.txt']",2,0,1,0.5,0.7005,0.6724
QA004,Fraud,Multiple small transactions are showing up that I didn't make,fraud_handling_policy.txt,Fraud Handling Policy §5 High Risk,"['fraud_handling_policy.txt', 'fraud_handling_policy.txt', 'refund_dispute_policy.txt']",1,1,1,1.0,0.6409,0.6409
QA005,Fraud,I received an OTP I didn't request. Is my account safe?,fraud_handling_policy.txt,"Fraud Handling Policy §5, §6.2","['fraud_handling_policy.txt', 'fraud_handling_policy.txt', 'fraud_handling_policy.txt']",1,1,1,1.0,0.6724,0.6724
QA006,Loan,What is the minimum CIBIL score required for a personal loan?,loan_processing_policy.txt,Loan Processing Policy §2.2,"['loan_processing_policy.txt', 'loan_processing_policy.txt', 'loan_processing_policy.txt']",1,1,1,1.0,0.8873,0.8873
QA007,Loan,How long will my home loan take to get approved?,loan_processing_policy.txt,Loan Processing Policy §4.3,"['loan_processing_policy.txt', 'loan_processing_policy.txt', 'loan_processing_policy.txt']",1,1,1,1.0,0.7168,0.7168
QA008,Loan,Can I foreclose my floating rate home loan without charges?,loan_processing_policy.txt,Loan Processing Policy §7.1,"['loan_processing_policy.txt', 'loan_processing_policy.txt', 'loan_processing_policy.txt']",1,1,1,1.0,0.7221,0.7221
QA009,Loan,My loan application was rejected. What can I do?,loan_processing_policy.txt,Loan Processing Policy §6,"['loan_processing_policy.txt', 'loan_processing_policy.txt', 'loan_processing_policy.txt']",1,1,1,1.0,0.7083,0.7083
QA010,Loan,I lost my job. Can I pause my loan EMIs?,loan_processing_policy.txt,Loan Processing Policy — Restructuring clause,"['loan_processing_policy.txt', 'loan_processing_policy.txt', 'loan_processing_policy.txt']",1,1,1,1.0,0.6201,0.6201
QA011,KYC,Why is my account restricted? I submitted KYC documents last week.,kyc_policy.txt,KYC Policy §6.1,"['kyc_policy.txt', 'kyc_policy.txt', 'kyc_policy.txt']",1,1,1,1.0,0.75,0.75
QA012,KYC,My Aadhaar name and bank name don't match. How do I fix this?,kyc_policy.txt,KYC Policy §2.1,"['kyc_policy.txt', 'kyc_policy.txt', 'kyc_policy.txt']",1,1,1,1.0,0.6416,0.6416
QA013,KYC,What documents do I need for KYC?,kyc_policy.txt,KYC Policy §2.1,"['kyc_policy.txt', 'kyc_policy.txt', 'kyc_policy.txt']",1,1,1,1.0,0.7176,0.7176
QA014,KYC,How often do I need to update my KYC?,kyc_policy.txt,KYC Policy §4,"['kyc_policy.txt', 'kyc_policy.txt', 'kyc_policy.txt']",1,1,1,1.0,0.6975,0.6975
QA017,Fraud,I got a call from someone claiming to be from the bank asking for my CVV,fraud_handling_policy.txt,Fraud Handling Policy §8.4,"['fraud_handling_policy.txt', 'fraud_handling_policy.txt', 'fraud_handling_policy.txt']",1,1,1,1.0,0.6785,0.6785
QA019,Loan,What is the maximum education loan I can get for studying abroad?,loan_processing_policy.txt,Loan Processing Policy §1.4,"['loan_processing_policy.txt', 'loan_processing_policy.txt', 'loan_processing_policy.txt']",1,1,1,1.0,0.6792,0.6792
QA020,KYC,My video KYC keeps failing. What should I do?,kyc_policy.txt,KYC Policy §5,"['kyc_policy.txt', 'kyc_policy.txt', 'kyc_policy.txt']",1,1,1,1.0,0.5963,0.5963
