id,category,question,reference_answer,generated_answer,semantic_similarity,policy_covered
QA001,Fraud,"I noticed an unauthorized transaction of ₹15,000 on my account. What should I do?","Please report immediately via our 24x7 helpline or mobile app. We will block your card, raise a dispute, and if reported within 3 working days, you have zero liability under RBI guidelines. A provisional credit will be issued within 10 working days.","Intent: Fraud/Unauthorized
Sentiment: Anxious
Urgency: High
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- No predefined action

Response:
I understand your concern regarding the unauthorized transaction on your account, and I am here to help you. 

Please report unauthorized transactions within 72 hours through any of the following channels:
- Toll-free helpline: 1800-XXX-XXXX (available 24x7)
- Mobile banking application by navigating to ""Report Fraud""
- Your nearest branch
- A written complaint to the nodal officer

Please note that Zero Liability applies if you report the unauthorized transaction within 3 working days. For a delay of 4-7 days, customer liability is limited to ₹10,000, and for a delay beyond 7 days, liability is determined by the transaction amount subject to investigation.",0.7965354,True
QA002,Fraud,How long does fraud investigation take?,Fraud investigations are completed within 30-45 working days. You will receive updates every 7 days. A provisional credit may be applied within 10 working days for eligible cases.,"Intent: Fraud/Unauthorized
Sentiment: Anxious
Urgency: High
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- No predefined action

Response:
I understand your concern. The investigation completion time for fraud cases is 30-45 working days, and a final resolution providing a refund or rejection notice will be given within 45 working days.",0.84527266,True
QA003,Fraud,Someone used my OTP to transfer money. Can I get a refund?,"If the OTP was shared voluntarily, liability may apply per RBI guidelines. If it was obtained through phishing/vishing, report immediately. Our fraud team will investigate. Account access will be suspended immediately for safety.",I’m unable to confirm the current official procedure for this account-access issue from the available bank policy information. Please contact the bank’s official support channel or visit your nearest branch for secure assistance.,0.6829759,True
QA004,Fraud,Multiple small transactions are showing up that I didn't make,Multiple micro-transactions could indicate card skimming or credential compromise. Your card will be blocked immediately. A new card will be dispatched and a police complaint (FIR) will be filed on your behalf. Please do not use existing card.,"Intent: Fraud/Unauthorized
Sentiment: Anxious
Urgency: High
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- Report unauthorized transactions within 72 hours via the toll-free helpline at 1800-XXX-XXXX (available 24x7), through the mobile banking application under ""Report Fraud"", at your nearest branch, or by submitting a written complaint to the nodal officer.

Response:
I understand your concern about seeing transactions you didn't make on your account. Please report these unauthorized transactions immediately. You must report them within 72 hours through one of our official channels: our 24x7 toll-free helpline at 1800-XXX-XXXX, the mobile banking application by selecting ""Report Fraud"", visiting your nearest branch, or by submitting a written complaint to the nodal officer.",0.70783466,True
QA005,Fraud,I received an OTP I didn't request. Is my account safe?,An unrequested OTP could indicate a fraud attempt or SIM swap. Your account has been placed under temporary hold. Please change your mobile banking PIN immediately and visit the nearest branch with ID proof.,"Intent: Fraud/Unauthorized
Sentiment: Anxious
Urgency: High
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- No predefined action

Response:
Hello,

I understand you are feeling concerned about receiving an unrequested OTP. 

If you suspect unauthorized activity or an account takeover attempt, you can report it through our toll-free helpline at 1800-XXX-XXXX (available 24x7), via the mobile banking application under ""Report Fraud,"" by visiting your nearest branch, or by submitting a written complaint to the nodal officer. Customers must report unauthorized transactions within 72 hours. 

Please reach out to one of these official channels so we can assist you further.",0.8428445,True
QA006,Loan,What is the minimum CIBIL score required for a personal loan?,"The minimum CIBIL score for a personal loan is 720. A higher score may qualify you for better interest rates ranging from 10.5% to 18% p.a. If your score is below 720, we recommend clearing existing dues and reapplying after 6 months.","Intent: Loan
Sentiment: Neutral
Urgency: Low
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- Provide applicable loan-processing guidance
- Review the customer's loan request

Response:
Hello,

The minimum CIBIL score required for a personal loan is 720. 

Please let us know if you would like us to review your loan request or if you need any further loan-processing guidance.",0.92939425,True
QA007,Loan,How long will my home loan take to get approved?,"Home loan processing takes 15-21 working days after complete document submission. This includes legal verification of property documents, technical appraisal, and credit assessment. Pre-approved customers may receive faster processing.","Intent: Loan
Sentiment: Neutral
Urgency: Medium
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- Provide applicable loan-processing guidance
- Review the customer's loan request

Response:
Hello! Thank you for reaching out to us. 

For a home loan, the processing timeline is 15-21 working days (subject to legal and technical verification). 

Please let us know if you would like us to review your loan request, and we will be happy to assist you further.",0.8657217,True
QA008,Loan,Can I foreclose my floating rate home loan without charges?,"Yes. As per RBI guidelines, there are no foreclosure charges on floating rate home loans. You only need to pay the outstanding principal plus accrued interest up to the foreclosure date. A no-dues certificate will be issued within 7 working days.","Intent: Loan
Sentiment: Neutral
Urgency: Low
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- Provide applicable loan-processing guidance
- Review the customer's loan request

Response:
Yes, there are no foreclosure charges for floating rate loans (as per RBI directive). Additionally, a no-dues certificate is issued within 7 working days of final payment. Please let us know if you would like us to review your loan request and provide further guidance.",0.9258586,True
QA009,Loan,My loan application was rejected. What can I do?,"A rejection letter with specific reasons will be issued within 3 working days. Common reasons include low credit score, insufficient income, or document deficiency. Based on the reason, we can guide you on adding a co-applicant, improving your credit profile, or reapplying for a lower amount.","Intent: Loan
Sentiment: Frustrated
Urgency: Medium
Risk Level: Not applicable
Escalation Required: False

Suggested Actions:
- Provide applicable loan-processing guidance
- Review the customer's loan request

Response:
I understand it is frustrating to have your loan application rejected. We can review your loan request to help you understand the specific reason for the decision, such as a low credit score, insufficient income, document deficiency, or negative credit history, and provide you with the appropriate guidance on your next steps.",0.7491337,True
QA010,Loan,I lost my job. Can I pause my loan EMIs?,"Yes, we have EMI moratorium options. We can evaluate a restructuring request under RBI guidelines. Please visit your nearest branch with employment separation letter. An EMI holiday of up to 3 months may be granted with interest capitalized during the period.","I am sorry to hear about your current situation.

Regarding your request to pause your loan EMIs, our provided policies do not contain specific information regarding loan moratoriums or EMI pauses. To discuss your options, please reach out to your local branch to speak with a Branch Manager, who can provide guidance on formal grievance redressal or support procedures.

For any formal application or review of your loan account, please ensure you have your required documentation available, such as your loan application form, KYC documents (Aadhaar and PAN), and your recent bank statements. You may submit your application through the bank's official channels for further assistance.",0.8326001,True
QA011,KYC,Why is my account restricted? I submitted KYC documents last week.,"Documents may be pending verification (typically 48 hours). If submitted online, please also confirm via the branch. If restrictions persist beyond 48 hours, please call our helpline with your complaint reference number for priority processing.","I understand that having an account restriction is concerning, and I apologize for the frustration this is causing.

According to our KYC policy, accounts may be restricted if KYC requirements are not met. While you mentioned submitting documents last week, please ensure that you have provided the necessary documentation as required for your specific account category—either Simplified KYC or Full KYC (which requires Officially Valid Documents and a photograph). 

You have the right to update your KYC information at any branch. For further assistance regarding the status of your documents or to verify that the required information was correctly received, I recommend that you contact our official bank support channels or visit your nearest branch for confirmation.",0.718499,True
QA012,KYC,My Aadhaar name and bank name don't match. How do I fix this?,"A name mismatch requires physical branch visit. Please bring a gazette notification or court affidavit for name correction. Alternatively, submit a written request with supporting documents. The update will be processed within 5 working days.",I’m unable to confirm the current official procedure for this account-access issue from the available bank policy information. Please contact the bank’s official support channel or visit your nearest branch for secure assistance.,0.6099912,True
QA013,KYC,What documents do I need for KYC?,"For individuals: Aadhaar card (mandatory), PAN card (for transactions above ₹50,000), and a recent photograph. For enhanced accounts, additional address proof may be required. NRI customers need a valid passport and overseas address proof.","Thank you for reaching out regarding your KYC requirements. To assist you with this process, please refer to the following documentation requirements:

**For Individuals:**
You must provide an Officially Valid Document (OVD). Accepted documents include:
*   Aadhaar (mandatory for resident Indians)
*   Passport
*   Driving Licence
*   Voter's Identity Card
*   NREGA Job Card
*   PAN Card (required for financial transactions exceeding ₹50,000)

Please note that Full KYC also requires a photograph.

**For Non-Individuals (Companies/Firms):**
*   Certificate of Incorporation
*   Memorandum and Articles of Association
*   Board Resolution
*   PAN of the entity and all directors/partners
*   Proof of registered office address

Please use the bank's official KYC channel to submit your documents. If you need further assistance or would like to update your information, you may visit any of our branches.",0.8060581,True
QA014,KYC,How often do I need to update my KYC?,"KYC refresh frequency depends on your risk category: High-risk customers every 2 years, Medium-risk every 8 years, Low-risk every 10 years. NRI accounts require annual review. You will receive an advance notification before your KYC expires.","To ensure your account remains compliant with our KYC policies, please be advised that the frequency of your KYC review depends on your assigned risk category:

*   **High-Risk Customers:** Every 2 years
*   **Medium-Risk Customers:** Every 8 years
*   **Low-Risk Customers:** Every 10 years
*   **NRI Accounts:** Annual review mandatory
*   **Dormant Accounts:** Full KYC is required upon reactivation

If you need to update your KYC information, you have the right to do so at any of our official bank branches. Please ensure you provide the necessary KYC documents through our official channels to avoid potential account restrictions.",0.91869664,True
QA015,Account Access,I'm locked out of my net banking. How do I regain access?,"Net banking access is temporarily suspended after 3 failed login attempts. You can reset access by: (1) Generating new IPIN at ATM, (2) Calling our IVR helpline, or (3) Visiting nearest branch with ID proof. Access is restored immediately upon successful PIN reset.","I understand that being unable to access your net banking can be concerning. 

Please note that net banking access is temporarily suspended after three failed login attempts. To regain access, you may use any of the following methods:

*   Generate a new IPIN at an ATM.
*   Call our IVR helpline.
*   Visit your nearest branch with valid ID proof.

Access will be restored immediately following a successful PIN reset. If you are unable to restore your access using these methods, please contact our customer support team for further assistance.",0.94678867,False
QA016,Account Access,My salary hasn't been credited even though it's the 5th,"Salary delays may be due to employer's payroll batch timing or bank holidays. Please check with your HR/payroll team first. If the employer has processed payment but amount not credited by EOD, raise a complaint and we will trace the NEFT/RTGS transaction.","I understand you are anxious about your salary credit, and I would be happy to assist you.

Please be aware that salary credit delays can occur due to employer payroll batch timing or bank holidays. 

As a first step, please check with your HR or payroll team to confirm whether the payment has been processed. If your employer confirms that the payment has been processed but the amount has not been credited by the end of the day, you may raise a complaint with us, and we will be able to trace the NEFT/RTGS transaction.",0.9065336,False
QA017,Fraud,I got a call from someone claiming to be from the bank asking for my CVV,"This is a vishing (voice phishing) attempt. Our bank NEVER asks for CVV, OTP, or PIN over phone or email. Do not share any information. Report this number to our fraud helpline immediately. Your account will be monitored for unusual activity.",I’m unable to confirm the current official procedure for this account-access issue from the available bank policy information. Please contact the bank’s official support channel or visit your nearest branch for secure assistance.,0.6899324,True
QA018,Account Access,Can I open a joint account with my spouse?,"Yes. Both account holders must visit the branch with PAN, Aadhaar, and passport-size photographs. You can choose the operational mode: Either or Survivor (most common), Former or Survivor, or Jointly. The process takes 1-2 working days.","Yes, you can open a joint account with your spouse. 

To proceed, both account holders must visit the branch together. Please bring the following documents with you:
* PAN
* Aadhaar
* Passport-size photographs

You may choose from the following operating modes: Either or Survivor, Former or Survivor, or Jointly. The account-opening process typically takes 1–2 working days.",0.872568,False
QA019,Loan,What is the maximum education loan I can get for studying abroad?,Education loans for overseas studies are available up to ₹40 lakh. A moratorium applies during the study period plus 6 months after course completion. Interest rates range from 8.5% to 12% p.a. Eligible courses include those at recognized universities abroad with admission proof.,"For education loans, the bank offers a maximum amount of ₹40 lakh for studies abroad. 

To proceed with your request, we recommend that you review the required loan documentation and submit your application through the bank's official channels.",0.89529514,True
