ticket_id,date_created,customer_id,channel,category,sub_category,query_text,sentiment,risk_level,resolution_text,resolution_time_minutes,resolved_by,customer_satisfaction,escalated
TKT-10001,2023-03-13,CUST872246,Web Chat,Fraud/Unauthorized,I see a transaction of ₹{amt} I didn't m,I see a transaction of ₹999 I didn't make on 25-Apr-2023,Urgent,High,Unauthorized transaction reported on account. Card blocked immediately. Dispute raised (Ref #TKT126225). Refund initiated within 7-10 working days after investigation.,28,Sneha R.,2,Yes
TKT-10002,2023-11-05,CUST127824,Branch,Fraud/Unauthorized,I see a transaction of ₹{amt} I didn't m,I see a transaction of ₹500 I didn't make on 16-Sep-2023,Neutral,High,Unauthorized transaction reported on account. Card blocked immediately. Dispute raised (Ref #TKT131244). Refund initiated within 7-10 working days after investigation.,27,Auto-Resolved,5,No
TKT-10003,2023-08-05,CUST456778,Phone,Fraud/Unauthorized,I see a transaction of ₹{amt} I didn't m,"I see a transaction of ₹25,000 I didn't make on 24-Dec-2023",Neutral,High,Unauthorized transaction reported on account. Card blocked immediately. Dispute raised (Ref #TKT391704). Refund initiated within 7-10 working days after investigation.,11,Anjali K.,2,No
TKT-10004,2023-01-23,CUST865179,Email,Fraud/Unauthorized,I see a transaction of ₹{amt} I didn't m,I see a transaction of ₹999 I didn't make on 16-May-2023,Confused,High,Unauthorized transaction reported on account. Card blocked immediately. Dispute raised (Ref #TKT476417). Refund initiated within 7-10 working days after investigation.,8,Vikram P.,2,Yes
TKT-10005,2023-12-05,CUST338968,Phone,Fraud/Unauthorized,I see a transaction of ₹{amt} I didn't m,"I see a transaction of ₹25,000 I didn't make on 24-Jan-2023",Frustrated,High,Unauthorized transaction reported on account. Card blocked immediately. Dispute raised (Ref #TKT479201). Refund initiated within 7-10 working days after investigation.,12,Priya S.,5,No
TKT-10006,2023-05-17,CUST835911,Web Chat,Fraud/Unauthorized,There's an ATM withdrawal of ₹{amt} from,"There's an ATM withdrawal of ₹5,000 from Bangalore but I'm in Ahmedabad",Confused,High,Location mismatch confirmed. ATM transaction flagged. Temporary hold placed on debit card. Branch visit requested with ID for card replacement.,25,Rahul M.,3,No
TKT-10007,2023-12-17,CUST440035,Web Chat,Fraud/Unauthorized,There's an ATM withdrawal of ₹{amt} from,"There's an ATM withdrawal of ₹7,500 from Hyderabad but I'm in Chandigarh",Neutral,High,Location mismatch confirmed. ATM transaction flagged. Temporary hold placed on debit card. Branch visit requested with ID for card replacement.,6,Anjali K.,5,No
TKT-10008,2023-12-02,CUST623481,Email,Fraud/Unauthorized,There's an ATM withdrawal of ₹{amt} from,"There's an ATM withdrawal of ₹2,000 from Hyderabad but I'm in Jaipur",Urgent,High,Location mismatch confirmed. ATM transaction flagged. Temporary hold placed on debit card. Branch visit requested with ID for card replacement.,19,Rahul M.,4,No
TKT-10009,2023-10-26,CUST518801,Phone,Fraud/Unauthorized,There's an ATM withdrawal of ₹{amt} from,"There's an ATM withdrawal of ₹15,000 from Hyderabad but I'm in Chandigarh",Neutral,High,Location mismatch confirmed. ATM transaction flagged. Temporary hold placed on debit card. Branch visit requested with ID for card replacement.,9,Sneha R.,5,No
TKT-10010,2023-08-05,CUST725380,Web Chat,Fraud/Unauthorized,There's an ATM withdrawal of ₹{amt} from,There's an ATM withdrawal of ₹500 from Hyderabad but I'm in Ahmedabad,Angry,High,Location mismatch confirmed. ATM transaction flagged. Temporary hold placed on debit card. Branch visit requested with ID for card replacement.,17,Sneha R.,5,Yes
TKT-10011,2023-10-02,CUST887352,Phone,Fraud/Unauthorized,I received an OTP but never requested it,I received an OTP but never requested it,Urgent,High,OTP triggered without user action — possible phishing or SIM swap attempt. Account access temporarily suspended. Customer advised to contact nearest branch.,15,Priya S.,4,Yes
TKT-10012,2023-04-02,CUST632342,Web Chat,Fraud/Unauthorized,I received an OTP but never requested it,I received an OTP but never requested it,Urgent,High,OTP triggered without user action — possible phishing or SIM swap attempt. Account access temporarily suspended. Customer advised to contact nearest branch.,14,Auto-Resolved,3,No
TKT-10013,2023-06-15,CUST612340,Web Chat,Fraud/Unauthorized,I received an OTP but never requested it,I received an OTP but never requested it,Frustrated,High,OTP triggered without user action — possible phishing or SIM swap attempt. Account access temporarily suspended. Customer advised to contact nearest branch.,16,Anjali K.,3,No
TKT-10014,2023-09-30,CUST903035,Mobile App,Fraud/Unauthorized,I received an OTP but never requested it,I received an OTP but never requested it,Neutral,High,OTP triggered without user action — possible phishing or SIM swap attempt. Account access temporarily suspended. Customer advised to contact nearest branch.,26,Vikram P.,3,No
TKT-10015,2023-06-09,CUST518373,Phone,Fraud/Unauthorized,I received an OTP but never requested it,I received an OTP but never requested it,Angry,High,OTP triggered without user action — possible phishing or SIM swap attempt. Account access temporarily suspended. Customer advised to contact nearest branch.,21,Vikram P.,2,No
TKT-10016,2023-10-29,CUST330914,Web Chat,Fraud/Unauthorized,My card was charged ₹{amt} by an unknown,My card was charged ₹999 by an unknown merchant,Frustrated,Medium,Merchant identified as third-party aggregator. Charge disputed. Provisional credit of ₹999 applied. Merchant notified for chargeback.,22,Rahul M.,3,No
TKT-10017,2023-12-09,CUST608993,Mobile App,Fraud/Unauthorized,My card was charged ₹{amt} by an unknown,My card was charged ₹500 by an unknown merchant,Confused,Medium,Merchant identified as third-party aggregator. Charge disputed. Provisional credit of ₹500 applied. Merchant notified for chargeback.,31,Auto-Resolved,5,No
TKT-10018,2023-02-18,CUST201639,Email,Fraud/Unauthorized,My card was charged ₹{amt} by an unknown,"My card was charged ₹25,000 by an unknown merchant",Anxious,Medium,"Merchant identified as third-party aggregator. Charge disputed. Provisional credit of ₹25,000 applied. Merchant notified for chargeback.",69,Vikram P.,4,No
TKT-10019,2023-07-26,CUST863587,Phone,Fraud/Unauthorized,My card was charged ₹{amt} by an unknown,My card was charged ₹500 by an unknown merchant,Frustrated,Medium,Merchant identified as third-party aggregator. Charge disputed. Provisional credit of ₹500 applied. Merchant notified for chargeback.,46,Rahul M.,3,No
TKT-10020,2023-08-25,CUST361941,Web Chat,Fraud/Unauthorized,My card was charged ₹{amt} by an unknown,"My card was charged ₹15,000 by an unknown merchant",Angry,Medium,"Merchant identified as third-party aggregator. Charge disputed. Provisional credit of ₹15,000 applied. Merchant notified for chargeback.",85,Priya S.,3,No
TKT-10021,2023-07-28,CUST609231,Email,Fraud/Unauthorized,I got a message that ₹{amt} was debited ,"I got a message that ₹15,000 was debited but I didn't shop",Neutral,Medium,SMS alert verified in system. Transaction traced to recurring subscription. Customer advised to cancel subscription or raise dispute.,66,Priya S.,3,No
TKT-10022,2023-08-05,CUST830429,Branch,Fraud/Unauthorized,I got a message that ₹{amt} was debited ,"I got a message that ₹7,500 was debited but I didn't shop",Urgent,Medium,SMS alert verified in system. Transaction traced to recurring subscription. Customer advised to cancel subscription or raise dispute.,77,Rahul M.,3,No
TKT-10023,2023-06-10,CUST159942,Web Chat,Fraud/Unauthorized,I got a message that ₹{amt} was debited ,"I got a message that ₹3,500 was debited but I didn't shop",Confused,Medium,SMS alert verified in system. Transaction traced to recurring subscription. Customer advised to cancel subscription or raise dispute.,76,Sneha R.,5,No
