transaction_id,account_id,timestamp,amount_inr,merchant_name,merchant_category,transaction_type,city,hour_of_day,day_of_week,is_international,velocity_flag,geo_anomaly_flag,high_amount_flag,fraud_label,fraud_reason
TXN500001,ACC995993,2023-05-21 01:35:00,7553.61,Flipkart,E-commerce,Credit Card,Mumbai,1,Sunday,No,No,No,No,0,
TXN500002,ACC163182,2023-09-26 10:44:00,634.78,Zomato,Food Delivery,Credit Card,Chennai,10,Tuesday,No,No,No,No,0,
TXN500003,ACC107161,2023-08-26 01:35:00,1136.71,Zomato,Food Delivery,UPI,Hyderabad,1,Saturday,No,No,No,No,0,
TXN500004,ACC103642,2023-07-09 02:34:00,41478.01,VPN_Service_Anon,Digital,UPI,Dubai,2,Sunday,Yes,Yes,Yes,Yes,1,Off-hours
TXN500005,ACC218118,2023-04-07 18:46:00,1139.76,Ola Cabs,Transport,Debit Card,Chennai,18,Friday,No,No,No,No,0,
TXN500006,ACC967161,2023-09-03 07:44:00,516.7,Flipkart,E-commerce,Net Banking,Kolkata,7,Sunday,No,No,No,No,0,
TXN500007,ACC956113,2023-06-07 08:23:00,1615.49,Paytm Mall,E-commerce,Credit Card,Chennai,8,Wednesday,No,No,No,No,0,
TXN500008,ACC451317,2023-10-16 07:47:00,1188.86,BigBasket,Grocery,Debit Card,Bangalore,7,Monday,No,No,No,No,0,
TXN500009,ACC667451,2023-10-19 07:31:00,12680.7,Paytm Mall,E-commerce,Debit Card,Ahmedabad,7,Thursday,No,No,No,No,0,
TXN500010,ACC122827,2023-03-28 04:46:00,1002.22,Paytm Mall,E-commerce,UPI,Mumbai,4,Tuesday,No,No,No,No,0,
TXN500011,ACC398384,2023-01-04 13:08:00,4843.36,Spotify,Subscription,UPI,Hyderabad,13,Wednesday,No,No,No,No,0,
TXN500012,ACC389039,2023-12-04 15:01:00,82.62,Amazon,E-commerce,UPI,Mumbai,15,Monday,No,No,No,No,0,
TXN500013,ACC464663,2023-04-02 03:58:00,1258.57,Swiggy,Food Delivery,Net Banking,Pune,3,Sunday,No,No,No,No,0,
TXN500014,ACC777255,2023-08-24 18:15:00,11331.34,VPN_Service_Anon,Digital,Card-Not-Present,Kuala Lumpur,18,Thursday,Yes,No,Yes,No,1,Location anomaly
TXN500015,ACC667451,2023-07-13 17:30:00,31854.93,UnknownMerchant_XYZ,Unknown,ATM,Kuala Lumpur,17,Thursday,Yes,Yes,Yes,Yes,1,High amount
TXN500016,ACC638179,2023-10-17 03:57:00,10999.74,Paytm Mall,E-commerce,UPI,Pune,3,Tuesday,No,No,No,No,0,
TXN500017,ACC164758,2023-10-06 18:42:00,1708.33,Amazon,E-commerce,UPI,Kolkata,18,Friday,No,No,No,No,0,
TXN500018,ACC434394,2023-05-04 18:53:00,1798.23,Spotify,Subscription,UPI,Delhi,18,Thursday,No,No,No,No,0,
TXN500019,ACC946112,2023-01-28 03:27:00,14413.16,IRCTC,Travel,UPI,Hyderabad,3,Saturday,No,No,No,No,0,
TXN500020,ACC103642,2023-09-09 07:22:00,1885.23,Paytm Mall,E-commerce,Debit Card,Pune,7,Saturday,No,No,No,No,0,
TXN500021,ACC779776,2023-05-18 04:24:00,1578.59,Uber,Transport,Credit Card,Mumbai,4,Thursday,No,No,No,No,0,
TXN500022,ACC837952,2023-02-22 04:05:00,890.41,BigBasket,Grocery,UPI,Hyderabad,4,Wednesday,No,No,No,No,0,
TXN500023,ACC158338,2023-07-17 00:18:00,19420.2,AbroadMerchant_TK,International,ATM,Dubai,0,Monday,Yes,No,Yes,No,1,Off-hours
TXN500024,ACC667451,2023-03-28 04:17:00,376.05,BookMyShow,Entertainment,UPI,Ahmedabad,4,Tuesday,No,No,No,No,0,
TXN500025,ACC965708,2023-11-17 15:38:00,644.08,Flipkart,E-commerce,Credit Card,Kolkata,15,Friday,No,No,No,No,0,
TXN500026,ACC464663,2023-11-30 19:08:00,6084.38,BookMyShow,Entertainment,Credit Card,Hyderabad,19,Thursday,No,No,No,No,0,
TXN500027,ACC218326,2023-10-22 07:20:00,1582.44,Zomato,Food Delivery,UPI,Bangalore,7,Sunday,No,No,No,No,0,
TXN500028,ACC619447,2023-08-25 22:13:00,13021.24,PhonePe Wallet,Wallet,Debit Card,Ahmedabad,22,Friday,No,No,No,No,0,
TXN500029,ACC663628,2023-05-10 21:09:00,9773.14,Uber,Transport,UPI,Kolkata,21,Wednesday,No,No,No,No,0,
TXN500030,ACC103161,2023-12-26 17:38:00,45723.43,VPN_Service_Anon,Digital,ATM,Dubai,17,Tuesday,Yes,No,Yes,Yes,1,Unknown merchant
